Time,signal type,Asset,Amount in coin ,Blance in USDT,Price,target price,stop loss,Profit
2022-06-15 19:00:29.163879,Buy,DATA,39745.6279809221,1000,0.02516,0.025285799999999997,0.02293,NAN
2022-06-15 19:07:13.696179,Sell,DATA,39745.6279809221,1011.9236883942767,0.02546,0.0255873,0.02315987325,1.1783189316575111
2022-06-17 02:00:31.034075,Buy,BTC,0.04846192140120478,1011.9236883942767,20880.8,20985.203999999998,20077.431428571428,NAN
2022-06-17 07:23:27.215634,Sell,BTC,0.04846192140120478,1022.8925596842255,21107.14,21136.66755,20177.818585714285,1.0723385546312838
2022-06-17 16:00:26.243974,Buy,LUNA,455.20562488728825,1022.8925596842255,2.2471,2.2583355000000003,2.1456142857142857,NAN
2022-06-18 06:51:40.485830,Sell,LUNA,455.20562488728825,979.6025047574444,2.152,2.270898,2.156342357142857,-4.419144981412634
2022-06-18 11:00:27.609375,Buy,SOL,33.06117127092286,979.6025047574444,29.63,29.77815,27.965714285714284,NAN
2022-06-18 11:12:28.448665,Sell,SOL,33.06117127092286,990.512691276849,29.96,30.1098,28.105542857142854,1.1014686248331096
2022-06-18 12:00:49.985284,Buy,BTC,0.051471301221309156,990.512691276849,19243.98,19340.1999,18538.424285714285,NAN
2022-06-18 17:43:21.475688,Sell,BTC,0.051471301221309156,952.9700388790383,18514.59,19340.1999,18538.424285714285,-3.9395417343835324
2022-06-18 22:00:28.984469,Buy,BTC,0.05146260116683038,952.9700388790383,18517.72,18610.3086,17720.895714285714,NAN
2022-06-18 22:16:58.972166,Sell,BTC,0.05146260116683038,963.7432198073026,18727.06,18820.695300000003,17898.54769382143,1.11784764933738
2022-06-18 23:01:18.776169,Buy,ALGO,3251.4953434794284,963.7432198073026,0.2964,0.297882,0.28341428571428573,NAN
2022-06-19 00:09:22.960385,Sell,ALGO,3251.4953434794284,973.8228553720887,0.2995,0.3009975,0.28625551392857146,1.0350584307178545
2022-06-19 05:00:24.128568,Buy,ADA,2185.9098886017705,973.8228553720887,0.4455,0.4477275,0.4217714285714286,NAN
2022-06-19 05:09:36.397195,Sell,ADA,2185.9098886017705,985.4081777816781,0.4508,0.45305399999999996,0.42599968714285713,1.1756876663708944
2022-06-19 06:00:58.133932,Buy,DATA,43238.621227805095,985.4081777816781,0.02279,0.022903950000000003,0.021538571428571428,NAN
2022-06-19 06:08:30.969349,Sell,DATA,43238.621227805095,995.3530606640733,0.02302,0.02302455,0.021646264285714284,0.9991311902693315
2022-06-19 07:00:51.517204,Buy,XRP,3288.249291919634,995.3530606640733,0.3027,0.3042135,0.2886,NAN
2022-06-19 07:19:20.589500,Sell,XRP,3288.249291919634,1006.2042833274079,0.306,0.30752999999999997,0.291493215,1.0784313725490031
2022-06-19 08:00:42.302842,Buy,BTC,0.05496302675147651,1006.2042833274079,18306.93,18398.46465,17246.21142857143,NAN
2022-06-19 08:30:35.914304,Sell,BTC,0.05496302675147651,1017.5579957634604,18513.5,18606.0675,17419.10469814286,1.1157803764820309
2022-06-21 00:03:00.094478,Buy,TRIBE,6188.118811881189,1000,0.1616,0.162408,0.1566,NAN
2022-06-21 05:21:15.640630,Sell,TRIBE,6188.118811881189,1010.5198019801982,0.1633,0.163614,0.157383,1.0410287813839703
2022-06-21 06:02:26.323877,Buy,HNT,93.13546562029477,1010.5198019801982,10.85,10.90425,10.285714285714285,NAN
2022-06-21 06:07:25.829240,Sell,HNT,93.13546562029477,1020.7647031984308,10.96,10.964550000000001,10.337142857142856,1.0036496350365134
2022-06-21 07:02:36.604237,Buy,BNX,7.439975970834044,1020.7647031984308,137.2,137.886,134.84285714285713,NAN
2022-06-21 12:02:11.492330,Sell,BNX,7.439975970834044,991.7487969121781,133.3,137.886,134.84285714285713,-2.9257314328582003
2022-06-21 19:02:41.470985,Buy,BNX,7.4736156511844625,991.7487969121781,132.7,133.3635,129.68571428571428,NAN
2022-06-21 23:49:45.534709,Sell,BNX,7.4736156511844625,1002.9592203889548,134.2,134.87099999999998,130.33414285714287,1.117734724292099
2022-06-22 06:02:13.766413,Buy,LIT,1160.8324310057346,1002.9592203889548,0.864,0.86832,0.8161428571428572,NAN
2022-06-22 06:39:53.374619,Sell,LIT,1160.8324310057346,1015.7283771300179,0.875,0.879375,0.8243246892857143,1.2571428571428547
2022-06-22 07:03:04.033445,Buy,REN,8801.805694367573,1015.7283771300179,0.1154,0.115977,0.10825714285714286,NAN
2022-06-22 07:47:38.920575,Sell,REN,8801.805694367573,956.7562789777552,0.1087,0.11668049999999999,0.10879842857142857,-6.163753449861999
2022-06-22 08:02:49.627714,Buy,OG,345.27473077508307,956.7562789777552,2.771,2.784855,2.629428571428571,NAN
2022-06-22 08:09:43.274834,Sell,OG,345.27473077508307,967.8050703625578,2.803,2.817015,2.6557885928571427,1.1416339636104114
2022-06-22 09:02:54.589884,Buy,PAXG,0.5288552297063157,967.8050703625578,1830.0,1839.15,1820.0,NAN
2022-06-22 15:22:08.656671,Sell,PAXG,0.5288552297063157,977.8533197269777,1849.0,1849.2,1829.1,1.027582477014594
2022-06-22 18:02:22.371969,Buy,AR,105.3721249705795,977.8533197269777,9.28,9.3264,8.815714285714284,NAN
2022-06-23 00:26:50.672956,Sell,AR,105.3721249705795,988.3905322240358,9.38,9.426900000000002,8.904091821428569,1.0660980810234726
2022-06-25 19:02:57.144275,Buy,BCH,8.718395815170009,1000,114.7,115.2735,111.01428571428572,NAN
2022-06-26 01:03:44.942521,Sell,BCH,8.718395815170009,1010.4620749782041,115.9,116.4795,112.12720392857143,1.0353753235547973
2022-06-26 04:02:36.120523,Buy,LIT,964.1813692540115,1010.4620749782041,1.048,1.05324,1.0092857142857143,NAN
2022-06-26 04:42:28.549134,Sell,LIT,964.1813692540115,1021.0680700399981,1.059,1.0592700000000002,1.014332142857143,1.0387157695939473
2022-06-26 05:02:34.891126,Buy,RNDR,1904.9777426119367,1021.0680700399981,0.536,0.53868,0.509,NAN
2022-06-26 05:09:21.928399,Sell,RNDR,1904.9777426119367,1034.4029142382817,0.543,0.5457150000000001,0.514102725,1.2891344383057108
2022-06-26 06:02:25.842306,Buy,WOO,4946.929288561844,1034.4029142382817,0.2091,0.2101455,0.20034285714285716,NAN
2022-06-26 06:40:26.432933,Sell,WOO,4946.929288561844,1045.7808516019738,0.2114,0.211452,0.20134457142857143,1.087984862819289
2022-06-26 08:02:22.724696,Buy,EGLD,17.037811202378197,1045.7808516019738,61.38,61.6869,59.54428571428572,NAN
2022-06-26 11:53:14.676672,Sell,EGLD,17.037811202378197,1056.514672659472,62.01,62.320049999999995,60.14121717857144,1.015965166908544
2022-06-26 12:02:15.640568,Buy,WOO,4976.517534900951,1056.514672659472,0.2123,0.21336149999999998,0.20338571428571428,NAN
2022-06-26 12:09:13.004060,Sell,WOO,4976.517534900951,1067.9606629897442,0.2146,0.215673,0.20542465607142857,1.0717614165890088
2022-06-26 15:02:08.585732,Buy,STORJ,1244.7093974239442,1067.9606629897442,0.858,0.86229,0.8275857142857143,NAN
2022-06-26 18:09:36.646483,Sell,STORJ,1244.7093974239442,1029.9970263683138,0.8275,0.86229,0.8275857142857143,-3.6858006042296174
2022-06-26 19:02:41.351819,Buy,AUD,1485.4298043961837,1029.9970263683138,0.6934,0.696867,0.6924,NAN
2022-06-27 00:49:59.058169,Sell,AUD,1485.4298043961837,1028.2145106030384,0.6922,0.696867,0.6924,-0.1733603004911778
2022-06-27 02:02:56.729726,Buy,WAVES,166.10896778724367,1028.2145106030384,6.19,6.22095,5.905714285714287,NAN
2022-06-27 02:03:06.948592,Sell,WAVES,166.10896778724367,1043.1643177038902,6.28,6.3114,5.935242857142858,1.4331210191082664
2022-06-27 03:02:27.455299,Buy,PEOPLE,42700.13580449817,1043.1643177038902,0.02443,0.024552150000000002,0.02319,NAN
2022-06-27 03:46:44.599602,Sell,PEOPLE,42700.13580449817,1054.2663530130599,0.02469,0.02481345,0.02342247975,1.0530579181855122
2022-06-27 04:02:47.876966,Buy,SOL,26.258190610536985,1054.2663530130599,40.15,40.35075,38.54857142857143,NAN
2022-06-27 04:39:30.312604,Sell,SOL,26.258190610536985,1065.0322111633802,40.56,40.581900000000005,38.74131428571429,1.0108481262327595
2022-06-27 05:02:32.787443,Buy,AVAX,52.38722140498673,1065.0322111633802,20.33,20.431649999999998,19.49142857142857,NAN
2022-06-27 07:08:39.957624,Sell,AVAX,52.38722140498673,1076.0335276584274,20.54,20.5422,19.588885714285713,1.0223953261927887
2022-06-27 08:02:43.168223,Buy,LINK,155.4961745171138,1076.0335276584274,6.92,6.9546,6.65,NAN
2022-06-27 08:59:24.044387,Sell,LINK,155.4961745171138,1086.9182598746254,6.99,6.9948,6.68325,1.0014306151645256
2022-06-27 09:02:27.909006,Buy,SUPER,7304.558198082161,1086.9182598746254,0.1488,0.14954399999999998,0.14307142857142857,NAN
2022-06-27 11:25:01.101517,Sell,SUPER,7304.558198082161,1098.605552991557,0.1504,0.150549,0.14378678571428571,1.0638297872340594
2022-06-27 13:02:47.270999,Buy,MTL,781.369525598547,1098.605552991557,1.406,1.41303,1.3651428571428572,NAN
2022-06-27 13:32:31.812828,Sell,MTL,781.369525598547,1110.3260958755354,1.421,1.4210699999999998,1.3719685714285714,1.0555946516537822
2022-06-27 16:02:23.046563,Buy,ALCX,43.713625821871474,1110.3260958755354,25.4,25.526999999999997,24.442857142857143,NAN
2022-06-27 21:56:41.428952,Sell,ALCX,43.713625821871474,1123.4401836220968,25.7,25.728,24.56507142857143,1.167315175097271
2022-06-27 22:02:44.408562,Buy,SOL,29.19543096731021,1123.4401836220968,38.48,38.672399999999996,37.089999999999996,NAN
2022-06-27 22:12:52.479966,Sell,SOL,29.19543096731021,1137.4539904864057,38.96,39.1548,37.46182725,1.2320328542094447
2022-06-27 23:02:57.778507,Buy,BNB,4.852619413337909,1137.4539904864057,234.4,235.572,229.4714285714286,NAN
2022-06-28 07:02:54.321612,Sell,BNB,4.852619413337909,1149.1002770784169,236.8,237.984,231.77187964285716,1.0135135135135296
2022-06-28 08:02:56.794263,Buy,TRX,17189.2337633271,1149.1002770784169,0.06685,0.06718425,0.06546142857142857,NAN
2022-06-28 08:55:40.477748,Sell,TRX,17189.2337633271,1161.1327407127458,0.06755,0.06788775,0.06611767939285715,1.0362694300518078
2022-06-28 09:02:44.192566,Buy,STORJ,1517.0273591752623,1161.1327407127458,0.7654,0.769227,0.7215714285714285,NAN
2022-06-28 18:11:16.224830,Sell,STORJ,1517.0273591752623,1099.5414299302302,0.7248,0.7741515,0.7251792857142857,-5.601545253863132
2022-06-28 20:02:14.595575,Buy,VGX,3727.259084509255,1099.5414299302302,0.295,0.296475,0.27228571428571424,NAN
2022-06-28 21:27:46.400669,Sell,VGX,3727.259084509255,1110.723207183758,0.298,0.298485,0.2736471428571428,1.0067114093959761
2022-06-28 22:02:51.042824,Buy,XRP,3234.488081490268,1110.723207183758,0.3434,0.345117,0.33467142857142856,NAN
2022-06-29 02:28:58.970599,Sell,XRP,3234.488081490268,1081.6128144503455,0.3344,0.345117,0.33467142857142856,-2.691387559808619
2022-06-29 03:03:05.081936,Buy,SOL,30.271839195363714,1081.6128144503455,35.73,35.908649999999994,34.00428571428571,NAN
